fitness,structure
273.09967,"{'opt': 'AdamW', 'learning_rate': 0.01, 'n_hidden_units': 16, 'dropout': 0.38510476483828254, 'seq_len': 12, 'weight_decay': 0, 'h2': 75, 'features': ['BRENT Close', 'SENT']}"
4.385696,"{'opt': 'RMSprop', 'learning_rate': 0.009166453565860775, 'n_hidden_units': 32, 'dropout': 0.35339350565055017, 'seq_len': 11, 'weight_decay': 0, 'h2': 104, 'features': ['BRENT Close', 'SENT']}"
2.3321316,"{'opt': 'Adamax', 'learning_rate': 0.009494587935312963, 'n_hidden_units': 8, 'dropout': 0.487111832426788, 'seq_len': 9, 'weight_decay': 0, 'h2': 88, 'features': ['BRENT Close', 'SENT']}"
2.7640042,"{'opt': 'Adamax', 'learning_rate': 0.01, 'n_hidden_units': 8, 'dropout': 0.41471113713826097, 'seq_len': 3, 'weight_decay': 0, 'h2': 90, 'features': ['BRENT Close', 'SENT']}"
2.836356,"{'opt': 'RMSprop', 'learning_rate': 0.009694640966998935, 'n_hidden_units': 16, 'dropout': 0.39173577934076054, 'seq_len': 14, 'weight_decay': 0, 'h2': 82, 'features': ['BRENT Close', 'SENT']}"
2.339921,"{'opt': 'SGD', 'learning_rate': 0.009064811047907937, 'n_hidden_units': 16, 'dropout': 0.33016301076913895, 'seq_len': 14, 'weight_decay': 0, 'h2': 69, 'features': ['BRENT Close', 'SENT']}"
14.455573,"{'opt': 'RMSprop', 'learning_rate': 0.01, 'n_hidden_units': 8, 'dropout': 0.4571177648297671, 'seq_len': 20, 'weight_decay': 0, 'h2': 88, 'features': ['BRENT Close', 'SENT']}"
2.2725754,"{'opt': 'Adamax', 'learning_rate': 0.00876505962997956, 'n_hidden_units': 16, 'dropout': 0.4167484737854222, 'seq_len': 3, 'weight_decay': 0, 'h2': 79, 'features': ['BRENT Close', 'SENT']}"
2.9921985,"{'opt': 'Adamax', 'learning_rate': 0.009658959657471848, 'n_hidden_units': 16, 'dropout': 0.39559977415836406, 'seq_len': 8, 'weight_decay': 0, 'h2': 127, 'features': ['SENT', 'BRENT Close']}"
2.8089337,"{'opt': 'Adamax', 'learning_rate': 0.006336100011375813, 'n_hidden_units': 32, 'dropout': 0.2715416349545294, 'seq_len': 15, 'weight_decay': 0, 'h2': 52, 'features': ['BRENT Close', 'SENT']}"
10.615988,"{'opt': 'AdamW', 'learning_rate': 0.01, 'n_hidden_units': 8, 'dropout': 0.2157451363861693, 'seq_len': 10, 'weight_decay': 0, 'h2': 72, 'features': ['BRENT Close', 'SENT']}"
16.05319,"{'opt': 'RMSprop', 'learning_rate': 0.01, 'n_hidden_units': 16, 'dropout': 0.3688034291770897, 'seq_len': 14, 'weight_decay': 0, 'h2': 79, 'features': ['BRENT Close', 'SENT']}"
